country,year,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
Ireland,2009,126.1,85.9,110.1,154.5,131.6,59.8
Netherlands,2009,123.8,71.9,103.2,90.1,108.5,41.6
France,2009,120.9,77.7,103.8,115.4,118.3,45.5
Belgium,2009,117.5,78.8,102.2,110.9,107.6,55.6
Sweden,2009,112.5,33.3,81.1,99.0,85.2,62.8
Austria,2009,110.4,66.0,92.8,97.7,84.8,54.4
Germany,2009,109.9,40.0,82.1,92.6,89.3,74.0
Israel,2009,106.8,58.8,87.8,110.5,67.2,42.5
Italy,2009,105.8,77.9,94.7,99.1,102.0,41.8
South Korea,2009,102.1,34.7,75.4,150.0,102.7,38.5
United Kingdom,2009,100.2,71.8,88.9,93.3,97.2,66.3
United States,2009,91.7,58.0,78.3,83.7,80.2,98.0
Portugal,2009,89.0,36.4,68.1,51.1,60.3,41.2
Australia,2009,83.3,48.2,69.4,98.9,76.7,120.0
Canada,2009,82.3,61.5,74.0,99.7,65.0,74.7
Chile,2009,79.9,22.1,56.9,55.4,40.8,40.4
Greece,2009,77.4,37.0,61.4,74.5,78.1,38.3
Singapore,2009,74.7,107.6,87.7,110.8,91.1,56.1
Hong Kong,2009,74.5,56.2,67.2,95.1,88.7,45.8
Czech Republic,2009,74.2,46.2,63.1,63.8,54.7,33.0
Brazil,2009,70.5,37.2,57.3,73.6,51.8,47.1
Latvia,2009,68.8,43.5,58.8,37.9,49.3,22.2
Jordan,2009,66.4,19.7,47.9,88.7,62.0,15.9
South Africa,2009,64.7,44.6,56.8,53.3,40.8,54.2
Serbia,2009,62.7,29.3,49.4,51.6,60.4,25.1
Hungary,2009,62.1,28.8,48.9,50.3,43.3,32.0
Colombia,2009,58.5,19.9,43.2,61.0,44.3,28.4
Bahrain,2009,58.0,82.4,67.7,70.1,67.2,49.0
Mexico,2009,54.2,22.4,41.6,40.0,48.7,42.9
Poland,2009,53.5,34.8,46.1,40.7,44.6,26.9
Bosnia And Herzegovina,2009,49.6,13.1,35.1,58.8,36.0,18.6
Bolivia,2009,46.7,21.8,36.8,27.1,37.2,32.5
China,2009,43.5,25.1,36.2,58.4,35.2,35.0
Thailand,2009,39.9,24.5,33.8,53.3,25.3,33.4
India,2009,38.5,10.5,27.4,34.0,29.5,41.4
Ukraine,2009,35.7,28.8,33.0,27.2,37.1,30.3
Norway,2010,161.3,71.6,121.2,169.8,162.6,69.1
Denmark,2010,138.9,83.5,114.1,116.6,159.1,74.1
Netherlands,2010,123.6,61.7,95.9,78.4,114.5,68.5
France,2010,123.5,67.2,98.4,101.0,132.9,70.5
Switzerland,2010,121.4,92.4,108.4,132.2,117.7,137.9
Belgium,2010,120.0,71.1,98.2,109.4,110.9,88.3
Ireland,2010,119.8,71.1,98.0,148.0,118.1,99.4
Italy,2010,115.4,63.7,92.3,94.5,113.3,51.0
Finland,2010,111.1,50.7,84.1,100.2,108.1,106.6
United Kingdom,2010,107.4,65.2,88.5,94.4,96.9,87.6
Austria,2010,107.3,59.6,86.0,96.4,87.5,89.6
Germany,2010,105.5,38.4,75.5,93.6,85.3,106.8
Sweden,2010,104.2,32.4,72.1,98.1,89.6,113.4
Australia,2010,100.5,52.7,79.2,101.9,82.2,114.4
Cyprus,2010,94.1,36.5,68.3,83.2,91.3,97.7
Spain,2010,91.3,45.8,71.0,67.4,82.2,52.1
Israel,2010,89.7,55.4,74.4,93.6,78.2,51.4
South Korea,2010,88.6,42.1,67.8,124.0,79.4,85.2
United States,2010,88.5,49.6,71.1,85.0,71.1,114.8
Japan,2010,86.7,55.2,72.6,100.5,66.9,97.8
Canada,2010,86.0,52.1,70.8,96.0,64.7,96.0
Portugal,2010,84.7,32.5,61.4,49.1,64.8,48.5
United Arab Emirates,2010,83.8,91.0,87.0,64.2,108.5,70.1
Croatia,2010,80.7,33.7,59.7,75.4,63.6,45.9
Greece,2010,77.0,32.4,57.1,76.2,78.7,61.3
Slovenia,2010,76.0,45.1,62.2,63.7,62.5,54.4
Brazil,2010,73.8,31.3,54.8,54.7,48.5,59.3
Czech Republic,2010,72.1,41.6,58.5,62.9,58.4,54.4
Latvia,2010,68.2,31.8,51.9,37.4,50.9,38.3
Chile,2010,67.5,19.7,46.1,55.4,41.6,53.3
Singapore,2010,65.9,71.8,68.6,100.3,56.4,76.8
Jordan,2010,65.6,26.4,48.1,88.2,65.2,22.1
Hong Kong,2010,64.7,58.5,61.9,93.3,50.9,53.2
Hungary,2010,64.4,21.1,45.1,53.3,48.0,32.5
Serbia,2010,62.4,24.3,45.3,49.3,60.6,35.2
Montenegro,2010,61.1,11.8,39.1,53.8,59.2,29.7
Albania,2010,60.5,13.2,39.4,51.3,52.3,27.4
Bulgaria,2010,59.8,24.9,44.2,51.3,48.1,31.5
South Africa,2010,59.4,35.3,48.7,50.9,43.3,57.8
Russia,2010,59.0,52.2,56.0,39.6,64.1,36.3
Venezuela,2010,58.9,46.9,53.6,26.9,65.2,36.2
Turkey,2010,56.9,23.7,42.0,53.7,39.9,62.2
Bahrain,2010,55.0,73.5,63.2,68.3,68.4,56.0
Colombia,2010,54.1,14.4,36.3,53.3,34.7,32.5
Iran,2010,53.9,70.2,61.2,59.6,31.2,38.0
Paraguay,2010,53.6,11.2,34.7,40.5,31.9,19.5
Argentina,2010,53.2,21.2,38.9,34.5,48.0,40.6
Poland,2010,52.6,30.7,42.8,42.6,44.9,52.2
Bosnia And Herzegovina,2010,51.2,7.9,31.8,53.6,38.8,31.3
Lithuania,2010,50.1,28.7,40.5,57.4,36.3,43.3
Mexico,2010,49.7,22.9,37.7,46.0,41.0,51.4
Romania,2010,45.7,27.5,37.5,41.4,41.2,24.3
Ecuador,2010,45.7,19.1,33.8,47.4,28.3,37.9
Belarus,2010,43.0,27.9,36.3,43.7,44.5,12.8
China,2010,40.1,26.1,33.8,65.0,29.5,36.8
Indonesia,2010,38.6,21.2,30.8,45.6,35.2,20.4
Bolivia,2010,38.0,19.4,29.7,26.4,32.9,43.1
Malaysia,2010,37.5,13.9,27.0,51.0,31.4,61.7
Thailand,2010,36.6,21.6,29.9,51.3,28.2,30.8
Pakistan,2010,32.4,9.7,22.2,35.3,30.9,37.4
Ukraine,2010,31.4,23.0,27.6,23.7,36.2,40.0
India,2010,28.7,9.6,20.2,31.0,23.9,43.6
Norway,2011,139.5,56.9,109.8,142.9,136.6,93.9
Switzerland,2011,131.0,62.1,106.2,131.5,115.1,137.1
Denmark,2011,119.7,53.9,96.1,99.0,140.3,93.3
Belgium,2011,109.4,37.4,83.6,87.9,117.3,100.1
Australia,2011,107.8,51.0,87.4,112.0,88.7,117.1
Ireland,2011,107.1,52.8,87.6,110.9,100.1,92.2
Netherlands,2011,105.7,43.3,83.3,64.0,106.4,100.3
France,2011,101.2,42.7,80.2,83.4,96.6,80.8
Sweden,2011,100.7,30.0,75.3,86.0,100.3,99.9
Finland,2011,98.7,39.8,77.5,89.7,88.1,109.8
Japan,2011,96.5,52.0,80.5,88.9,70.8,106.7
Italy,2011,95.8,38.3,75.2,78.7,95.4,66.0
Austria,2011,95.2,40.5,75.6,85.1,75.9,99.0
United Kingdom,2011,93.8,43.7,75.8,87.9,92.8,98.0
Iceland,2011,93.3,36.7,73.0,111.7,90.0,93.2
New Zealand,2011,92.6,29.4,69.9,97.0,81.1,80.4
Cyprus,2011,91.0,31.0,69.4,75.8,88.8,91.8
Greece,2011,89.8,21.1,65.1,72.2,80.7,48.8
Canada,2011,89.3,41.5,72.2,95.1,69.8,109.3
Singapore,2011,88.8,84.9,87.4,88.2,52.7,82.5
Germany,2011,87.2,32.6,67.6,75.3,70.1,118.5
Israel,2011,82.9,33.5,65.2,73.0,73.4,84.3
Saudi Arabia,2011,81.0,22.2,59.9,125.6,29.5,77.9
United Arab Emirates,2011,80.1,74.6,78.1,59.3,97.1,109.3
Malta,2011,78.2,24.0,58.7,68.2,66.0,92.3
Puerto Rico,2011,77.1,29.2,59.9,70.0,61.5,93.9
Brazil,2011,76.8,26.5,58.7,50.1,48.4,58.3
Morocco,2011,76.4,25.8,58.3,69.2,41.4,26.9
United States,2011,76.2,40.2,63.3,71.0,60.2,120.4
Spain,2011,76.1,33.5,60.8,57.5,68.6,67.7
Portugal,2011,73.1,30.6,57.8,51.6,51.4,53.6
Slovenia,2011,72.6,33.0,58.4,62.1,57.8,64.2
Hong Kong,2011,72.2,81.2,75.4,70.1,51.4,65.2
Latvia,2011,70.9,19.9,52.6,49.8,76.5,36.2
Uruguay,2011,70.3,20.1,52.3,62.0,52.4,44.5
Costa Rica,2011,69.8,22.3,52.7,75.7,58.2,44.9
South Africa,2011,69.2,27.3,54.1,59.3,50.0,86.4
Croatia,2011,68.3,18.1,50.3,65.1,48.2,51.8
Lebanon,2011,68.3,42.2,58.9,36.4,58.2,22.9
Azerbaijan,2011,67.3,59.5,64.5,47.0,57.8,33.0
Dominican Republic,2011,67.1,22.8,51.2,64.9,49.1,46.1
Russia,2011,64.0,40.0,55.4,46.9,65.9,33.8
Venezuela,2011,63.9,32.4,52.6,52.4,57.6,34.8
Jordan,2011,62.0,19.9,46.9,59.2,41.4,34.8
Turkey,2011,61.9,17.1,45.8,47.5,42.5,55.9
Lithuania,2011,61.8,19.7,46.7,56.1,41.2,31.5
Hungary,2011,61.5,16.5,45.3,52.4,43.0,38.0
Chile,2011,61.2,16.8,45.2,46.9,47.4,61.2
Czech Republic,2011,60.8,30.5,49.9,47.1,37.9,57.3
Slovakia,2011,60.0,22.0,46.4,53.7,43.3,59.3
South Korea,2011,60.0,31.1,49.6,66.8,50.2,118.7
Montenegro,2011,59.5,22.9,46.4,44.8,48.9,27.6
Estonia,2011,59.2,16.6,43.9,44.3,58.6,68.9
Armenia,2011,58.7,25.9,46.9,27.6,47.4,17.4
Argentina,2011,56.6,18.6,43.0,49.6,44.6,51.8
Taiwan,2011,55.7,22.0,43.6,56.7,32.9,92.0
Bosnia And Herzegovina,2011,55.4,8.2,38.5,49.8,34.9,38.6
Colombia,2011,54.3,13.7,39.7,44.9,32.5,39.8
Bulgaria,2011,52.1,14.3,38.5,40.1,36.8,35.0
Mexico,2011,51.5,17.3,39.2,46.0,38.9,65.0
Egypt,2011,51.3,22.4,40.9,48.4,37.7,17.7
Poland,2011,51.2,19.5,39.8,39.7,38.7,62.8
Serbia,2011,51.0,15.5,38.3,38.7,40.2,31.9
Syria,2011,49.7,13.0,36.5,41.2,33.2,22.2
Ecuador,2011,49.5,14.5,36.9,56.7,27.3,40.3
Indonesia,2011,49.3,19.1,38.5,55.8,26.8,16.6
Belarus,2011,47.9,15.9,36.4,35.8,60.1,26.0
Romania,2011,47.7,13.6,35.5,40.1,35.2,33.4
Peru,2011,46.9,17.5,36.3,50.0,32.7,42.8
Iran,2011,46.1,29.6,40.2,49.6,32.5,54.8
Ukraine,2011,45.1,17.4,35.2,29.9,41.2,29.5
Panama,2011,45.0,19.0,35.7,38.6,32.2,70.1
Malaysia,2011,44.8,11.5,32.9,40.5,23.5,86.5
Mongolia,2011,44.4,18.5,35.1,56.0,27.6,34.6
China,2011,43.4,20.3,35.1,46.8,25.4,27.4
Kenya,2011,43.2,19.8,34.8,39.5,29.7,34.9
North Macedonia,2011,41.8,10.1,30.4,35.0,28.8,38.3
Thailand,2011,41.8,21.7,34.6,46.2,24.8,23.5
Philippines,2011,39.1,9.7,28.5,33.9,19.2,37.9
Vietnam,2011,39.1,32.3,36.6,36.1,24.0,51.1
Bolivia,2011,37.4,15.2,29.4,28.3,23.4,50.5
Pakistan,2011,31.0,7.8,22.6,28.1,20.2,30.3
India,2011,30.3,9.0,22.6,28.9,18.3,62.8
Norway,2012,151.3,55.5,116.8,142.4,150.2,92.6
Switzerland,2012,141.3,58.5,111.5,130.5,123.1,127.5
Japan,2012,134.2,54.2,105.4,118.0,84.3,79.9
Monaco,2012,128.2,173.1,144.3,89.8,138.1,62.3
Australia,2012,123.0,58.8,99.9,113.7,109.0,109.5
Denmark,2012,116.5,41.3,89.4,94.1,130.7,102.0
Belgium,2012,108.7,35.0,82.2,86.0,107.5,90.4
Ireland,2012,107.8,38.1,82.7,97.1,106.1,89.6
Netherlands,2012,104.5,41.2,81.7,69.6,104.4,95.2
Iceland,2012,103.6,32.7,78.1,97.7,92.2,78.6
Sweden,2012,101.9,29.4,75.8,85.3,101.5,100.7
New Zealand,2012,101.7,31.7,76.5,95.6,86.5,85.4
United Kingdom,2012,100.1,37.9,77.7,83.7,94.1,88.3
Finland,2012,99.7,36.5,76.9,82.3,96.9,98.1
Bahrain,2012,99.5,37.5,77.2,150.5,86.9,52.8
France,2012,98.2,35.9,75.8,83.0,94.9,92.7
Canada,2012,98.0,38.3,76.6,93.8,83.2,108.2
Kuwait,2012,96.2,30.8,72.7,73.5,137.4,70.0
Singapore,2012,96.1,90.7,94.1,82.8,65.1,93.3
Israel,2012,95.5,32.1,72.6,77.3,89.5,75.0
Austria,2012,94.8,34.3,73.1,85.1,76.6,98.3
Italy,2012,94.8,34.3,73.0,76.0,95.4,68.6
Saudi Arabia,2012,93.4,18.0,66.3,135.5,39.6,82.1
Greece,2012,93.1,18.9,66.4,69.8,91.2,48.3
Cyprus,2012,89.5,22.4,65.4,74.6,92.2,77.0
Germany,2012,88.6,28.9,67.1,72.1,76.2,114.4
Lebanon,2012,86.1,37.0,68.4,45.3,69.6,24.4
Hong Kong,2012,84.4,97.0,88.9,80.5,69.0,84.3
Qatar,2012,84.3,63.5,76.8,81.6,72.9,153.6
Puerto Rico,2012,84.3,28.1,64.1,81.8,64.6,78.2
Brazil,2012,83.7,25.6,62.8,57.8,57.0,32.8
Malta,2012,83.2,19.5,60.2,70.8,69.1,91.7
United States,2012,83.1,37.4,66.6,77.6,68.7,116.5
Uruguay,2012,83.0,25.3,62.2,66.0,68.8,29.4
United Arab Emirates,2012,82.0,66.9,76.5,66.2,80.5,125.9
Spain,2012,80.2,27.3,61.2,59.0,74.8,88.0
South Africa,2012,75.6,25.4,57.5,59.7,56.3,92.5
Slovenia,2012,74.3,25.7,56.8,64.7,58.0,57.9
Morocco,2012,71.9,26.6,55.6,61.4,41.7,16.7
Azerbaijan,2012,71.2,41.0,60.4,53.2,68.2,26.4
Kazakhstan,2012,70.8,31.8,56.8,49.6,54.7,24.5
Portugal,2012,70.8,23.0,53.6,56.2,52.2,56.0
South Korea,2012,68.6,27.8,53.9,70.7,48.2,108.6
Costa Rica,2012,68.4,23.0,52.1,67.0,52.9,46.3
Latvia,2012,67.8,14.3,48.5,51.3,63.6,35.0
Croatia,2012,67.5,13.9,48.2,56.0,52.4,50.1
Chile,2012,67.4,19.8,50.3,54.2,54.3,47.1
Estonia,2012,66.9,15.1,48.3,51.3,58.7,47.8
Turkey,2012,65.3,15.5,47.4,47.3,48.2,52.6
Russia,2012,64.8,23.8,50.1,49.7,67.5,43.9
Argentina,2012,63.1,19.2,47.3,52.4,54.4,41.7
Taiwan,2012,62.9,18.7,47.0,75.3,35.6,74.9
Armenia,2012,62.8,19.6,47.2,38.4,53.2,20.7
Montenegro,2012,62.2,17.2,46.0,49.1,55.9,38.9
Lithuania,2012,62.1,14.8,45.1,53.0,41.8,33.6
Czech Republic,2012,61.4,21.3,47.0,49.0,40.9,61.9
Jordan,2012,60.4,13.3,43.5,54.9,48.2,37.0
Colombia,2012,60.0,16.6,44.4,50.2,38.8,29.3
Hungary,2012,59.7,12.7,42.7,44.6,43.6,36.8
Slovakia,2012,59.3,23.0,46.2,49.2,40.0,49.2
Georgia,2012,56.1,15.3,41.4,40.9,49.1,29.4
Peru,2012,55.1,15.7,40.9,41.9,36.2,36.0
Mexico,2012,55.1,14.0,40.3,48.5,43.2,59.0
Malaysia,2012,54.9,12.8,39.7,53.7,31.1,74.1
Iran,2012,54.8,25.2,44.2,53.9,42.2,46.2
Tunisia,2012,54.5,9.9,38.4,45.7,40.4,32.4
Panama,2012,54.0,25.3,43.7,48.9,37.7,40.9
Mongolia,2012,53.9,24.0,43.1,57.9,37.8,22.6
Indonesia,2012,51.4,17.2,39.1,57.9,30.1,18.3
Ukraine,2012,51.1,14.9,38.1,38.4,46.1,25.6
Bulgaria,2012,50.9,12.3,37.0,42.0,33.0,33.8
Ecuador,2012,50.8,12.4,37.0,46.6,29.0,26.0
Bosnia And Herzegovina,2012,50.8,8.4,35.5,41.1,39.6,44.4
Serbia,2012,50.5,11.9,36.6,36.5,40.3,31.3
Syria,2012,50.2,12.8,36.8,37.7,33.1,23.6
Thailand,2012,50.2,17.6,38.4,65.5,27.4,32.0
Poland,2012,49.7,16.9,37.9,39.4,38.4,59.2
Egypt,2012,49.6,16.0,37.5,43.4,44.8,28.2
China,2012,48.8,19.7,38.3,53.7,33.6,30.3
Nicaragua,2012,48.3,10.7,34.8,47.5,34.6,42.6
Romania,2012,47.9,12.2,35.0,39.8,35.3,34.3
Moldova,2012,47.8,12.3,35.0,38.6,40.3,27.6
Belarus,2012,45.6,10.6,33.0,33.8,52.8,23.6
Nepal,2012,44.3,4.9,30.1,36.1,30.2,24.5
Philippines,2012,43.6,11.0,31.9,43.1,23.8,29.0
Vietnam,2012,42.9,33.0,39.3,45.3,26.7,28.0
North Macedonia,2012,42.8,9.5,30.8,33.6,31.6,35.2
Algeria,2012,40.6,8.3,29.0,43.6,25.6,27.5
Pakistan,2012,36.2,6.8,25.6,31.5,29.1,28.3
India,2012,33.4,8.4,24.4,33.8,21.1,60.1
Norway,2013,173.8,69.0,123.5,162.5,183.3,95.9
Switzerland,2013,151.8,70.9,113.0,153.1,142.4,137.3
Australia,2013,133.7,72.7,104.4,128.7,116.4,103.0
Luxembourg,2013,124.8,67.7,97.4,111.8,130.8,121.4
Denmark,2013,119.9,42.9,83.0,104.0,130.5,102.1
Japan,2013,115.2,43.8,81.0,112.8,70.0,86.0
Sweden,2013,114.5,36.1,76.9,105.6,110.1,106.6
New Zealand,2013,113.6,46.1,81.2,111.7,93.5,80.6
Bahrain,2013,113.5,29.6,73.2,162.9,71.0,59.3
Iceland,2013,112.4,39.3,77.3,118.8,99.7,67.9
Ireland,2013,112.3,40.4,77.8,105.5,103.0,95.1
Venezuela,2013,111.0,41.5,77.6,126.4,93.6,16.6
Belgium,2013,108.0,39.2,75.0,90.1,115.6,94.1
Finland,2013,107.0,40.4,75.0,101.3,100.2,94.1
Singapore,2013,105.4,103.0,104.3,91.2,63.3,59.9
Netherlands,2013,103.9,45.7,76.0,81.1,107.7,92.9
France,2013,103.2,38.0,71.9,97.7,100.4,98.1
United Kingdom,2013,102.2,41.1,72.9,93.1,94.3,89.1
Italy,2013,101.4,36.2,70.1,87.3,107.4,70.4
Canada,2013,99.6,39.8,70.9,101.2,85.6,109.6
Cyprus,2013,98.6,25.0,63.3,89.3,101.2,72.5
Austria,2013,97.9,36.8,68.6,92.8,81.4,87.5
Greece,2013,92.6,18.6,57.1,74.7,95.5,49.4
Israel,2013,92.2,32.3,63.5,76.9,90.1,72.6
Germany,2013,91.6,33.2,63.6,80.7,79.7,117.6
Nigeria,2013,87.2,17.9,53.9,92.9,62.5,32.7
Malta,2013,85.6,20.6,54.4,73.7,77.6,77.8
Spain,2013,83.1,29.1,57.2,66.5,81.0,84.0
Puerto Rico,2013,82.6,25.0,54.9,83.5,65.0,94.1
Qatar,2013,82.4,84.1,83.2,75.0,78.8,136.7
Slovenia,2013,82.1,26.5,55.4,70.5,63.2,59.2
Uruguay,2013,81.7,26.1,55.0,70.5,75.7,37.6
Kuwait,2013,80.7,34.6,58.6,79.0,78.7,84.6
United States,2013,80.5,37.4,59.8,80.7,67.9,136.5
South Korea,2013,80.4,28.7,55.6,94.1,46.5,102.1
Azerbaijan,2013,78.2,41.9,60.8,67.9,64.8,20.5
Hong Kong,2013,77.8,88.6,83.0,79.8,54.5,80.3
Lebanon,2013,75.6,38.5,57.8,58.1,65.2,42.5
United Arab Emirates,2013,75.5,63.3,69.6,65.0,69.9,121.2
Portugal,2013,75.3,24.3,50.8,61.2,59.1,54.1
Croatia,2013,72.2,14.9,44.7,64.5,56.0,51.6
Saudi Arabia,2013,72.2,15.7,45.1,74.5,36.5,114.6
Estonia,2013,70.8,16.8,44.9,60.9,53.4,53.1
Argentina,2013,70.4,20.1,46.3,64.5,65.4,50.2
Brazil,2013,70.0,22.8,47.3,54.0,51.8,41.3
Russia,2013,69.7,29.4,50.3,56.9,73.6,43.0
Chile,2013,68.4,21.3,45.8,58.2,56.3,56.4
Latvia,2013,68.0,15.3,42.7,55.4,58.4,41.3
Taiwan,2013,67.8,20.5,45.1,80.0,31.7,73.0
Costa Rica,2013,66.6,20.9,44.7,71.8,54.7,45.6
Dominican Republic,2013,66.2,15.4,41.8,66.1,41.5,28.0
Slovakia,2013,65.7,24.5,45.9,56.2,44.5,53.8
Jordan,2013,65.5,15.6,41.6,56.8,56.4,36.2
Kazakhstan,2013,65.2,26.6,46.6,51.3,67.4,32.2
Turkey,2013,64.4,16.2,41.2,50.0,46.3,56.4
Hungary,2013,63.9,12.6,39.3,50.9,47.3,43.0
Czech Republic,2013,63.4,21.0,43.0,54.7,40.6,60.6
Lithuania,2013,63.3,16.2,40.7,55.4,42.0,42.2
Montenegro,2013,63.2,15.2,40.2,56.0,55.2,43.9
China,2013,61.8,25.8,44.5,66.4,36.5,37.3
Trinidad And Tobago,2013,61.6,30.6,46.7,55.8,48.4,44.3
South Africa,2013,60.2,21.4,41.6,52.9,49.8,105.3
Ethiopia,2013,59.9,24.3,42.8,62.5,26.1,11.5
Colombia,2013,58.4,14.0,37.1,52.8,38.3,29.7
Iraq,2013,57.2,18.0,38.4,50.9,46.2,33.7
Iran,2013,57.0,24.3,41.3,59.3,42.8,37.5
Kenya,2013,57.0,17.2,37.9,61.0,33.8,38.9
Cambodia,2013,55.8,9.2,33.4,64.3,24.5,15.5
Poland,2013,55.6,20.2,38.6,46.6,43.1,54.7
Tanzania,2013,54.9,13.9,35.2,59.2,24.9,66.0
Malaysia,2013,54.8,15.3,35.8,51.5,27.4,69.6
Oman,2013,54.6,27.5,41.6,51.4,39.8,129.2
Mauritius,2013,54.5,23.4,39.5,43.5,53.5,46.1
Morocco,2013,54.0,16.7,36.1,44.7,42.3,26.4
